SiteID,DEPTH_FROM,DEPTH_TO,Sample,Weight,Description,AuPPM,AgPPM,AlPPM,AsPPM,BaPPM,BePPM,BiPPM,CaPPM,CdPPM,CePPM,CoPPM,CrPPM,CsPPM,CuPPM,FePPM,GaPPM,GePPM,HfPPM,InPPM,KPPM,LaPPM,LiPPM,MgPPM,MnPPM,MoPPM,NaPPM,NbPPM,NiPPM,PPPM,PbPPM,RbPPM,RePPM,SPPM,SbPPM,ScPPM,SePPM,SnPPM,SrPPM,TaPPM,TePPM,ThPPM,TiPPM,TlPPM,UPPM,VPPM,WPPM,YPPM,ZnPPM,ZrPPM,DyPPM,ErPPM,EuPPM,GdPPM,HoPPM,LuPPM,NdPPM,PrPPM,SmPPM,TbPPM,TmPPM,YbPPM,Al2O3PPM,BaOPPM,CaOPPM,Fe2O3PPM,K2OPPM,MgOPPM,Na2OPPM,P2O5PPM,TiO2PPM,Cr2O3PPM,MnOPPM,SrOPPM,BaOPPM,P2O5PPM,Cr2O3PPM,MnOPPM,SrOPPM,SiO2PPM,LOIPPM,TotalPPM,CPPM,HgPPM,Na/Al (Molar),K/Al (Molar)
GTK-21-01,497,497.94,half-NQ2,2.63,khaki (chloritic?) volcanic w/ mnr massive magnetite,0.009,0.08,42100,2.3,140,4.8,1.1,12300,0.02,1300,25.1,3,0.27,1380,239000,35.8,1.27,5.1,0.195,3.8,428,6.8,0.23,122,33,700,27.1,15.5,6200,5.2,55.1,0.008,700,1.35,9.5,1,11.7,65.9,0.91,0.025,19,5410,0.08,8.2,237,7.2,61.6,14,229,16.5,5.61,6.99,56.5,2.38,0.53,522,140,92.1,5.02,0.78,4.25,7.954638,156.309314,1.720999,34.170535,4.577503,0.381403,0.094358,14206.46578,0.902407,4.38467,157.529727,77.93329,0.015631,1.420647,0.000438467,0.015753,0.007793,,,,,,0.019514079,0.622888545
GTK-21-01,497.94,499,half-NQ2,3.94,magnetite-hematite ironstone w/ quartz,0.006,0.07,1600,2.6,10,1.08,1.13,28200,0.03,1415,15.9,9,0.025,1350,379000,18.8,1.46,0.05,0.076,0.07,470,0.7,0.02,149,15.15,200,14,21.6,14350,4,1.4,0.005,700,0.62,5,2,14.4,76.3,0.34,0.025,42.2,1900,0.01,4.3,445,4.6,175.5,5,3.2,39.5,14.7,8.98,84.7,6.47,0.86,608,158,112.5,9.44,1.85,8.04,0.302314,11.164951,3.945706,54.186748,0.084322,0.033166,0.026959,,0.316927,13.15401,192.392864,90.232322,0.001116,,0.001315,0.019239,0.009023,,,,,,0.146704057,0.301916536
GTK-21-01,499,500,half-NQ2,3.94,magnetite-hematite ironstone w/ quartz,0.006,0.01,1100,4.6,10,1.65,0.81,37800,0.03,2590,15.3,3,0.025,213,381000,25.7,2.49,0.1,0.064,0.01,830,0.5,0.01,179,4.1,200,12.9,22.2,20200,3.9,0.5,0.005,100,0.68,4.3,0.5,13.2,91.8,0.37,0.025,64.4,1340,0.01,5.9,418,4.7,279,3,2.2,61.1,21.8,16.3,146,9.85,1.21,1175,288,195,15.65,2.61,11.7,0.207841,11.164951,5.288925,54.472694,0.012046,0.016583,0.026959,,0.223517,4.38467,231.129682,108.56261,0.001116,,0.000438467,0.023113,0.010856,,,,,,0.213387719,0.062735904
GTK-21-01,500,500.9,half-NQ2,3.28,magnetite-hematite ironstone,0.007,0.06,2000,3.4,10,2.13,0.39,18000,0.04,1495,16.6,5,0.025,266,423000,18.95,1.47,0.05,0.099,0.01,500,1.4,0.04,271,3.5,200,15.6,22.6,9590,4.4,0.5,0.003,100,0.94,4.3,0.5,14.6,99.6,0.44,0.025,39.2,1690,0.01,10,487,9.5,198.5,4,1.9,42.6,15.2,8.85,83.2,6.7,0.94,615,162.5,112.5,9.5,1.82,9.04,0.377893,11.164951,2.518536,60.477558,0.012046,0.066331,0.026959,21974.19464,0.281898,7.307783,349.922591,117.786884,0.001116,2.197419,0.000730778,0.034992,0.011779,,,,,,0.117363245,0.034504747
GTK-21-01,500.9,502.03,half-NQ2,2.28,volcanic,0.006,0.03,56800,1.4,180,4.42,0.2,4900,0.01,328,66.7,4,0.25,498,197000,24,0.42,7.1,0.087,5.96,140.5,7.3,0.36,98,1.47,700,19.4,33.6,2480,3.3,69.8,0.001,100,0.84,5.6,1,9.3,30.7,0.78,0.025,8.13,4890,0.11,6.7,173,4.2,31.4,21,318,6.98,3.14,2.05,16.25,1.19,0.39,143,38.8,24.7,1.68,0.47,2.92,10.732148,200.969118,0.685601,28.165671,7.179451,0.596979,0.094358,5682.58631,0.815669,5.846227,126.540273,36.305797,0.020097,0.568259,0.000584623,0.012654,0.003631,,,,,,0.01446378,0.724113705
GTK-21-01,502.03,503,half-NQ2,3.76,magnetite-hematite ironstone,0.006,0.01,1500,4.5,10,0.87,0.3,31500,0.03,1870,22.4,4,0.025,86.5,391000,21.9,1.83,0.05,0.044,0.05,640,0.8,0.05,158,1.78,200,19.1,19.3,17250,4.2,1,0.004,100,0.64,3.3,0.5,17.1,72.5,0.44,0.025,62.6,1650,0.01,7.4,473,2.3,184,6,2.2,46.2,15.1,11.65,106.5,6.9,0.8,777,206,139,11.3,1.75,7.82,0.283419,11.164951,4.407438,55.902424,0.06023,0.082914,0.026959,,0.275226,5.846227,204.013909,85.738445,0.001116,,0.000584623,0.020401,0.008574,,,,,,0.156484327,0.230031647
GTK-21-01,503,504,half-NQ2,4.34,magnetite-hematite ironstone,0.006,0.01,800,4,10,0.76,0.19,17900,0.04,1220,18.2,11,0.025,233,425000,16.3,1.29,0.1,0.045,0.01,411,0.6,0.05,103,2.13,100,17.2,20.2,9430,2.8,0.3,0.002,100,0.74,3.4,0.5,16,39.9,0.48,0.025,30.8,1690,0.01,4.2,523,3.1,134.5,4,4.1,32.9,11.65,7.96,72.4,4.8,0.63,513,134.5,94.4,7.77,1.43,6.32,0.151157,11.164951,2.504544,60.763504,0.012046,0.082914,0.01348,21607.57617,0.281898,16.077123,132.996409,47.185709,0.001116,2.160758,0.001608,0.0133,0.004719,,,,,,0.146704057,0.086261868
GTK-21-01,504,505,half-NQ2,3.38,ironstone w/ quartz; trace chalcopyrite,0.007,0.02,2300,4.8,10,0.83,0.32,20900,0.04,1390,39.5,13,0.025,213,337000,21.9,1.36,0.05,0.052,0.02,470,1.6,0.17,118,3.33,100,13.3,28.9,10950,3.6,0.8,0.003,200,0.8,3.4,0.5,11.6,45.2,0.23,0.025,35.4,1280,0.01,4.8,384,2.6,121.5,7,2.6,30.6,11.45,8.28,74.4,4.49,0.56,578,152.5,103.5,7.96,1.12,5.36,0.434576,11.164951,2.9243,48.181884,0.024092,0.281907,0.01348,,0.213508,19.000237,152.364818,53.453485,0.001116,,0.0019,0.015236,0.005345,,,,,,0.051027498,0.060008256
GTK-21-01,505,506,half-NQ2,4.2,magnetite-hematite ironstone; trace pyrite?,0.0025,0.01,600,3.4,10,0.53,0.21,25200,0.02,1265,33.3,3,0.025,178,411000,16.55,1.26,0.1,0.039,0.01,420,0.4,0.04,112,1.35,100,16.6,23.6,13050,3.1,0.3,0.003,100,0.56,3.1,0.5,13.4,45.8,0.46,0.025,38.9,1250,0.01,4,495,2.8,147.5,5,6.9,34.6,11.65,7.79,73.7,5.19,0.63,528,139.5,94.8,8.31,1.35,6.39,0.113368,11.164951,3.52595,58.761883,0.012046,0.066331,0.01348,,0.208504,4.38467,144.617455,54.163045,0.001116,,0.000438467,0.014462,0.005416,,,,,,0.195605409,0.115015823
GTK-21-01,506,507,half-NQ2,4.22,magnetite-hematite ironstone; trace chalcopyrite,0.0025,0.01,800,4.9,10,0.63,0.23,26800,0.03,1880,55,3,0.025,228,441000,26.9,1.93,0.1,0.036,0.005,660,0.6,0.06,124,1.91,100,18.8,39,14550,3.4,0.2,0.004,200,0.45,2.9,0.5,9.8,59.1,0.62,0.025,48.8,1110,0.01,5.2,569,2.3,171.5,5,8.7,40.1,12.3,11.85,101,5.57,0.65,848,225,146.5,10.35,1.43,6.19,0.151157,11.164951,3.74982,63.051071,0.006023,0.099497,0.01348,,0.185152,4.38467,160.112182,69.891615,0.001116,,0.000438467,0.016011,0.006989,,,,,,0.146704057,0.043130934
GTK-21-01,507,508,half-NQ2,4.26,ironstone w/ trace chalcopyrite,0.0025,0.005,600,2.9,10,0.54,0.17,19300,0.02,1195,65.9,6,0.025,153.5,459000,20.8,1.26,0.5,0.027,0.01,411,0.4,0.04,99,1.85,100,23.2,38.6,10100,2.5,0.3,0.002,200,0.35,2.8,0.5,8.3,38,0.64,0.025,34,1180,0.01,4.7,601,1.4,124.5,5,21.6,28.5,9.35,7.4,68.3,4.07,0.56,497,130,91,7.31,1.1,5.11,0.113368,11.164951,2.70043,65.624584,0.012046,0.066331,0.01348,,0.196828,8.76934,127.8315,44.938771,0.001116,,0.000876934,0.012783,0.004494,,,,,,0.195605409,0.115015823
