PROJECT,SiteID,DEPTH_FROM,DEPTH_TO,SampleID,CuPPM,AuPPM,AgPPM,UPPM,FePPM,AsPPM,AlPPM,BaPPM,BiPPM,CaPPM,CdPPM,CePPM,CoPPM,CrPPM,CsPPM,DyPPM,ErPPM,EuPPM,FPPM,GaPPM,GdPPM,HfPPM,HoPPM,InPPM,KPPM,LaPPM,LuPPM,MgPPM,MnPPM,MoPPM,NaPPM,NbPPM,NdPPM,NiPPM,PPPM,PrPPM,PbPPM,RbPPM,SbPPM,ScPPM,SePPM,SmPPM,SnPPM,SPPM,SiPPM,SrPPM,TaPPM,TbPPM,TePPM,ThPPM,TiPPM,TmPPM,WPPM,VnPPM,VPPM,YPPM,YbPPM,ZnPPM,ZrPPM,PtPPM,PdPPM
SAR,DD21CAL011,496.1,497,D2003241,60,0.005,0.1,3.5,69200,6,47800,69,0.05,83700,0.05,92,29,15,3.7,4,3,1.5,,18,6,4,0.5,0.25,13700,44,0.25,68600,4260,0.5,700,2.5,40,20,1400,11,5,80,0.25,16,1,7,2.5,3100,156000,29.8,0.1,0.5,0.1,12.5,6300,0.25,1.5,,165,23,2,80,155,,
SAR,DD21CAL011,497,498,D2003243,50,0.005,0.1,3,63500,6,48900,44,0.05,120000,0.05,93,28.4,15,4.3,4.5,3,1.5,,14,6,4,0.5,0.25,13500,47,0.25,39600,2320,0.5,550,2.5,38,20,1300,11.5,5,99,0.25,16,1,6,2.5,1800,166000,116,0.2,0.5,0.1,11,5850,0.25,1.5,,150,23,2,90,150,,
SAR,DD21CAL011,498,499,D2003245,30,0.005,0.1,4,48600,6,55500,88,0.05,97000,0.05,84,19,55,5.3,4,3,1,,15,5,4.5,0.5,0.25,21800,41,0.25,29100,1480,2,600,2.5,33,40,1100,9.5,5,151,0.25,12,1,5,2.5,950,209000,131,0.05,1,0.1,24.5,4300,0.25,1.5,,105,24,2,70,190,,
SAR,DD21CAL011,499,500,D2003246,5,0.005,0.1,2,37500,6,35600,222,0.05,170000,0.05,54,13.2,35,3,3,2,1,,12,3,3,0.5,0.25,12500,28,0.25,23800,2260,2,250,1.5,23,20,800,6.5,5,77.5,0.25,10,1,4,2.5,550,166000,354,0.1,0.25,0.1,11.5,2750,0.25,1.5,,65,16,1,50,100,,
SAR,DD21CAL011,500,501,D2003247,110,0.005,0.1,2,33200,6,38400,193,0.4,205000,0.05,52,13.4,35,2.8,3,2,1,,12,4,2,0.5,0.25,17200,23,0.25,17400,2220,0.5,450,1,21,20,400,6,5,79,0.25,12,1,4,2.5,2350,134000,337,0.05,0.5,0.1,9.5,2200,0.25,1.5,,60,18,2,60,80,,
SAR,DD21CAL011,501,502,D2003248,90,0.005,0.1,3,83600,10,64300,102,0.5,80200,0.05,116,35.4,35,5,5.5,4,2,,15,7,5,1,0.25,17700,56,0.5,31700,1140,0.5,450,2.5,53,30,1900,14,5,103,0.25,22,1,9,2.5,5250,202000,112,0.1,1,0.1,12.5,8100,0.25,1.5,,235,28,3,120,195,,
SAR,DD21CAL011,502,502.6,D2003249,210,0.005,0.2,3,90600,10,63300,190,0.6,78100,0.05,75,38.8,95,4.6,3.5,2,1,,17,5,4.5,0.5,0.25,15700,36,0.25,36600,1260,0.5,450,4.5,31,30,1200,9,5,95,0.25,24,1,6,2.5,6200,195000,98.4,0.2,0.5,0.1,10.5,5800,0.25,1.5,,215,20,2,100,140,,
SAR,DD21CAL011,502.6,504,D2003250,50,0.01,0.1,2,37400,6,50400,220,0.3,176000,0.05,63,11.4,55,3.7,3,2,1,,13,5,3,0.5,0.25,22100,30,0.25,17900,1920,0.5,950,2,26,20,500,7.5,5,104,0.25,10,1,5,2.5,450,162000,198,0.1,0.5,0.1,12,2450,0.25,1.5,,50,19,2,40,110,,
SAR,DD21CAL011,504,505,D2003251,30,0.005,0.1,2,28900,6,43400,238,0.5,196000,0.05,57,10.2,45,3.7,3,2,0.5,,13,4,3,0.5,0.25,22600,27,0.25,17300,1640,3,700,1.5,22,20,300,6.5,5,100,0.25,10,2,4,2.5,300,149000,187,0.1,0.25,0.1,10.5,2250,0.25,1.5,,50,18,2,40,100,,
SAR,DD21CAL011,505,505.6,D2003252,5,0.005,0.1,2.5,27900,4,38700,249,0.05,215000,0.05,56,8.6,30,1.8,3,2,1,,12,4,2,0.5,0.25,22300,28,0.25,13800,1760,0.5,450,1,21,20,300,7,5,89.5,0.25,8,1,5,2.5,200,135000,255,0.05,0.5,0.1,9.5,1900,0.25,1.5,,40,17,2,40,80,,
SAR,DD21CAL011,505.6,507,D2003253,50,0.005,0.1,3,74800,8,57700,117,0.2,101000,0.05,120,32.4,10,5.4,6,3,2,,14,6,4,1,0.25,18600,59,0.25,29100,1000,0.5,450,2,48,30,1600,14,5,114,0.25,20,1,9,2.5,2050,191000,216,0.1,1,0.1,12.5,7400,0.25,1.5,,205,29,3,90,180,,
SAR,DD21CAL011,507,508,D2003254,60,0.005,0.1,3.5,45700,6,58400,362,0.05,103000,0.05,116,16.2,60,4.9,3.5,3,1.5,,14,6,5.5,0.5,0.25,27400,60,0.25,22500,920,0.5,650,2,42,40,1100,13,5,145,0.25,12,1,6,2.5,750,210000,223,0.05,0.5,0.1,24.5,4500,0.25,1.5,,110,21,2,50,205,,
SAR,DD21CAL011,508,509,D2003255,40,0.005,0.1,6,65600,12,76200,361,0.2,38000,0.05,156,26.2,90,5.6,5,3,1.5,,18,7,7,0.5,0.25,34700,82,0.25,33300,820,4,550,2.5,57,70,1600,17.5,5,180,0.25,16,1,9,2.5,1100,245000,59.2,0.1,1,0.1,34.5,6200,0.25,6,,150,24,2,80,280,,
SAR,DD21CAL011,509,510,D2003256,20,0.005,0.1,6.5,66700,8,76700,270,0.05,37400,0.05,160,31.8,85,6.2,5.5,3,2,,20,8,8,1,0.25,33000,85,0.25,32600,660,2,550,2.5,61,70,1600,18,5,186,0.25,14,1,9,2.5,1250,244000,61,0.2,1,0.1,38,6150,0.25,1.5,,150,28,2,90,295,,
SAR,DD21CAL011,510,511,D2003257,5,0.005,0.1,2.5,48900,6,51100,113,0.2,118000,0.05,116,17.4,35,3.7,3,2,1,,14,6,3.5,0.5,0.25,19400,60,0.25,33900,1900,29,400,2,42,20,800,12.5,5,106,0.25,12,1,7,2.5,700,202000,160,0.1,0.5,0.1,16,4050,0.25,1.5,,110,18,2,60,140,,
SAR,DD21CAL011,511,512,D2003258,70,0.005,0.1,3,61700,12,62400,141,0.3,103000,0.05,69,24.6,130,3.8,3.5,2,1,,14,4,3.5,0.5,0.25,20800,33,0.25,40400,1780,3,550,2,26,70,700,8,5,113,0.25,18,1,4,2.5,1600,189000,114,0.05,0.5,0.1,15,3600,0.25,1.5,,110,19,2,70,145,,
SAR,DD21LAR007,131.6,133,D2002801,90,0.01,0.1,3,79600,8,69700,357,0.2,25400,0.05,45,17,80,6.5,3.5,2,1,,20,4,5,0.5,1,31800,23,0.25,35800,1180,0.5,1550,3,20,30,500,5.5,5,135,0.5,16,1,4,2.5,150,247000,23.8,0.2,0.25,0.1,10,5050,0.25,6,,90,23,3,30,195,,
SAR,DD21LAR007,133,134,D2002802,70,0.005,0.1,1,227000,98,14800,77,0.2,63200,0.05,26,16.4,20,3,2,2,0.25,,10,2,1,0.5,0.25,5100,14,0.25,36800,5840,2,550,4,11,5,2500,2.5,5,25,0.5,4,1,2,2.5,450,180000,25.8,0.3,0.25,0.1,3,1100,0.25,1.5,,10,15,0.5,10,35,,
SAR,DD21LAR007,134,135,D2002803,50,0.005,0.4,1.5,151000,72,14000,89,0.3,76100,0.2,30,17,20,2.7,2.5,2,0.25,,11,3,1,0.5,0.25,2250,17,0.25,43600,6240,2,550,4,13,5,2600,3.5,50,15,1,4,1,2,2.5,1450,158000,32.4,0.2,0.25,0.1,3,1100,0.25,1.5,,15,19,0.5,30,35,,
SAR,DD21LAR007,135,136.17,D2002804,130,0.005,0.6,2,105000,90,16100,48,0.4,110000,0.8,30,15.6,20,1.9,2,2,0.25,,12,3,1,0.5,0.25,2350,16,0.25,59200,5640,2,650,4,13,5,1800,3.5,560,12.5,1,6,1,2,2.5,4500,142000,41,0.3,0.25,0.1,3,1150,0.25,1.5,,20,17,0.5,150,30,,
SAR,DD21LAR007,136.17,138,D2002805,50,0.005,0.1,1.5,33000,8,32700,229,0.2,131000,0.05,35,8.8,30,2.2,2.5,2,0.25,,14,3,2,0.5,0.25,14700,17,0.25,77400,4240,0.5,900,4,16,5,400,4,5,58,0.25,8,1,3,2.5,300,118000,22.2,0.4,0.25,0.1,8,1950,0.25,1.5,,35,20,0.5,20,65,,
SAR,DD21LAR007,138,140,D2002806,70,0.005,0.1,1.5,21200,6,28400,161,0.5,133000,0.05,51,5.8,35,1.3,2.5,2,0.25,,14,4,1.5,0.5,0.25,16100,25,0.25,69100,5080,0.5,4450,4,20,5,200,6,10,34.5,0.25,6,1,4,2.5,200,125000,26.6,0.4,0.25,0.1,7,1400,0.25,1.5,,30,19,0.5,10,45,,
SAR,DD21LAR007,140,142,D2002807,60,0.005,0.1,2,21800,1,34400,276,0.2,148000,0.05,44,6.8,30,1,2,0.5,0.25,,14,3,1.5,0.5,0.25,24000,21,0.25,79200,4460,0.5,3850,3,18,5,400,5,5,40.5,0.25,10,1,3,2.5,400,106000,39.2,0.3,0.25,0.1,8,1700,0.25,1.5,,40,13,0.5,20,70,,
SAR,DD21LAR007,142,144,D2002808,30,0.005,0.1,1.5,25500,1,34400,341,0.2,132000,0.05,35,8.4,30,2.4,2,0.5,0.25,,14,3,2,0.5,0.25,24600,17,0.25,73500,4860,0.5,1200,4,14,5,300,4,5,58.5,0.25,8,1,3,2.5,350,114000,38.8,0.3,0.25,0.1,8.5,1700,0.25,1.5,,30,14,0.5,20,60,,
SAR,DD21LAR007,144,146,D2002809,40,0.005,0.1,1.5,26400,1,33200,336,0.05,142000,0.05,38,6.6,30,2.9,2,0.5,0.25,,17,3,1.5,0.5,0.25,25700,20,0.25,73100,7100,0.5,750,3,15,5,300,4,5,59,0.25,8,1,3,2.5,350,107000,30,0.3,0.25,0.1,8,1700,0.25,1.5,,45,16,0.5,20,60,,
SAR,DD21LAR007,146,148.1,D2002810,20,0.005,0.1,1.5,21600,6,30900,331,0.2,138000,0.05,36,7.2,30,3,2,0.5,0.25,,13,2,2,0.5,0.25,22700,19,0.25,73700,3800,0.5,650,4,14,5,400,4,5,53,0.25,8,1,2,2.5,350,105000,42.8,0.4,0.25,0.1,7.5,1600,0.25,1.5,,35,13,0.5,20,55,,
